"s_x1","s_x2","s_x3","s_x4","s_x5","s_x6","s_x7","s_x8","s_x9","s_x10","s_x11","s_x12","s_x13","s_x14","s_x15","s_y","s_y2",
0,0,0.059761,0.059761,1.9278,,80.1047,-0.137,251.1175,251.0144,250.8633,250.6785,249.6116,248.4028,247.653,,,
0.1513,0.1513,0.1513,0.21116,1.4234,,79.6791,-0.097789,251.255,251.1081,250.9467,250.7596,249.6869,248.4647,247.7043,,,
0,0.1513,0.1513,0.33107,1.3008,,68.595,-0.078497,251.3467,251.1848,251.0196,250.833,249.7592,248.5254,247.755,,,
0.58442,0.58442,0.73661,0.84101,1.8929,,88.4615,0.1151,251.8978,251.5149,251.2671,251.0394,249.8862,248.614,247.8245,,,
0.24901,0.83489,0.98746,1.0921,2.1466,,90.7121,0.30033,252.4752,251.8994,251.5625,251.2861,250.0331,248.7133,247.9014,,,
0.36273,0.61265,1.3538,1.4143,0.66437,,92.7711,0.50693,253.1668,252.3814,251.9359,251.5969,250.2102,248.8289,247.9894,,,
-0.090356,0.27205,1.1092,1.2622,1.1414,,94.3627,0.56816,253.5512,252.7338,252.2339,251.8563,250.3714,248.9376,248.0733,,,
-0.15728,-0.2475,0.95018,1.1029,0.9823,,85.3147,0.51208,253.6741,252.9495,252.4447,252.0528,250.5105,249.0363,248.1507,,,
0.10633,-0.051117,0.47036,1.2104,1.1299,,86.1842,0.46974,253.8461,253.175,252.6629,252.2564,250.6548,249.1384,248.2307,,,
-0.047209,0.059074,0.17348,1.1627,1.3038,,83.5886,0.3874,253.9207,253.3378,252.8388,252.4291,250.7887,249.236,248.3081,,,
0.047231,0,-0.14143,1.2104,1.5623,,83.4802,0.31406,254.0105,253.4927,253.0077,252.5968,250.9221,249.3341,248.386,,,
-0.46815,-0.42114,-0.51903,0.58442,1.2,,66.1431,0.082268,253.6737,253.4031,253.0067,252.6352,251.0036,249.4067,248.4471,,,
0,-0.46815,-0.36232,0.58442,1.2324,,66.1431,-0.084976,253.4491,253.3298,253.0059,252.6699,251.0819,249.4779,248.5074,,,
0,0,-0.46815,0,1.0585,,66.1431,-0.2028,253.2994,253.2699,253.0051,252.7014,251.1571,249.5476,248.5669,,,
0.79051,0.79051,0.36604,0.54016,1.8574,,74.903,-0.027751,253.8663,253.5844,253.2545,252.9203,251.3078,249.6556,248.6521,,,
-0.16078,0.62846,0.15736,0.015714,1.6936,,69.7165,0.014161,254.1075,253.7673,253.4214,253.0793,251.4365,249.7533,248.7307,,,
0,-0.16078,0.62846,0.10617,1.836,,69.7165,0.022723,254.2683,253.9169,253.5675,253.2232,251.5602,249.8491,248.8084,,,
0.51455,0.51455,1.1462,0.77977,2.1883,,69.0789,0.17708,254.8122,254.2774,253.8591,253.4781,251.7304,249.9689,248.9023,,,
0,0.51455,1.1462,0.67273,1.9197,,66.2841,0.24713,255.1748,254.5724,254.1142,253.7088,251.8939,250.0863,248.995,,,
0,0,0.35294,0.72027,1.9522,,61.157,0.2601,255.4165,254.8138,254.3374,253.9175,252.051,250.2015,249.0864,,,
-0.88316,-0.88316,-0.37315,-0.21637,1.0518,,45.7921,-0.052443,254.8244,254.6004,254.2502,253.891,252.1133,250.2695,249.1467,,,
0.7215,-0.16803,0.34565,0.97628,1.7809,,58.1493,-0.030472,255.0396,254.7585,254.4027,254.0414,252.245,250.3725,249.2305,,,
0,0.7215,-0.16803,0.97628,1.9027,,56.9264,-0.033491,255.1831,254.8879,254.5361,254.1775,252.3714,250.4735,249.3131,,,
